Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,PROKKA_Fusobacterium_necrophorum_BL.fna,PROKKA_Fusobacterium_necrophorum_D12.fna,PROKKA_Fusobacterium_necrophorum_DJ-1.fna,PROKKA_Fusobacterium_necrophorum_DJ-2.fna,PROKKA_Fusobacterium_necrophorum_isolate_MGYG-HGUT-02362.fna,PROKKA_Fusobacterium_necrophorum_strain_ATCC_25286.fna,PROKKA_Fusobacterium_necrophorum_strain_FDAARGOS_565.fna,PROKKA_Fusobacterium_necrophorum_strain_KG34.fna,PROKKA_Fusobacterium_necrophorum_strain_KG35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_ATCC_51357.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_B35_FNF_B35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_Fnf_1007.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_1_1.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_CCUG_42162.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1248.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1250.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1267.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1285.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1309.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1314_102.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1330.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1351_200.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1353.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1365.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1195_338.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1197.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1264.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1266.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1272_324.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_CP.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_LM.fna,PROKKA_Fusobacterium_necrophorum_subsp._necrophorum_strain_ATCC_25286.fna,PROKKA_usobacterium_necrophorum_BFTR-1.fna,PROKKA_usobacterium_necrophorum_BFTR-2.fna,PROKKA_usobacterium_necrophorum_DAB.fna,PROKKA_usobacterium_necrophorum_HUN048_T527.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_B35.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_strain_LS_1280.fna
hup_2,,DNA-binding protein HU,42,42,1,56,4498,,,,317,323,317,CNENEDLI_00743,DFALKBJJ_01756,EJBHNGMC_00676,DCFFOKJI_01155,PHBPEANE_01630,JINGLCIG_01278,ADPOPIFB_02324,NJBJJNNI_01840,DJMJFLHK_01079,AIHILEFE_01419,JGGOHAED_01426,GJMCKLCA_00492,GBODHHMP_01224,MNODNHPF_00057,EJGBHNGE_00801,BJIHFIIA_00584,CCJAMINL_01084,INNBEBHB_00612,BCLEFNON_00551,PIKLICFD_00874,KCBGGAIE_00606,DKDLJDCI_00872,HHABKOMD_00538,HFDAGFPP_00175,OIIKEPCC_00386,LJEDAGOM_00363,IPMILDJG_01996,BJPOBNPA_00793,MHOHJPEI_00535,IFBIBDFK_00263,NDJNICBH_00537,GDMGBJMC_01755,PCEJJBAK_00057,CENHJHOP_00294,OJDKFIFK_00417,HDNLMBCC_01547,LLAELIHG_00845,JNMNFCGE_00897,FDAPKMPL_01690,PPEHEOKD_00219,GBLJPCAA_00567,DMLJKPOB_00404
udk,,Uridine kinase,42,42,1,56,4501,,,,446,1469,1444,CNENEDLI_00745,DFALKBJJ_01194,EJBHNGMC_00678,DCFFOKJI_01153,PHBPEANE_01048,JINGLCIG_01280,ADPOPIFB_02326,NJBJJNNI_01245,DJMJFLHK_00554,AIHILEFE_01052,JGGOHAED_01055,GJMCKLCA_01793,GBODHHMP_01726,MNODNHPF_00332,EJGBHNGE_02022,BJIHFIIA_02263,CCJAMINL_01375,INNBEBHB_02116,BCLEFNON_02108,PIKLICFD_01150,KCBGGAIE_01819,DKDLJDCI_01192,HHABKOMD_01788,HFDAGFPP_01234,OIIKEPCC_00111,LJEDAGOM_02029,IPMILDJG_00559,BJPOBNPA_01080,MHOHJPEI_02120,IFBIBDFK_00538,NDJNICBH_00185,GDMGBJMC_01173,PCEJJBAK_01208,CENHJHOP_01732,OJDKFIFK_01730,HDNLMBCC_01545,LLAELIHG_00847,JNMNFCGE_00895,FDAPKMPL_01692,PPEHEOKD_00499,GBLJPCAA_00964,DMLJKPOB_01772
group_1548,,hypothetical protein,42,42,1,56,4503,,,,533,533,533,CNENEDLI_00746,DFALKBJJ_01195,EJBHNGMC_00679,DCFFOKJI_01152,PHBPEANE_01049,JINGLCIG_01281,ADPOPIFB_02327,NJBJJNNI_01244,DJMJFLHK_00553,AIHILEFE_01051,JGGOHAED_01056,GJMCKLCA_01794,GBODHHMP_01725,MNODNHPF_00331,EJGBHNGE_02021,BJIHFIIA_02262,CCJAMINL_01374,INNBEBHB_02115,BCLEFNON_02107,PIKLICFD_01149,KCBGGAIE_01818,DKDLJDCI_01193,HHABKOMD_01787,HFDAGFPP_01233,OIIKEPCC_00112,LJEDAGOM_02028,IPMILDJG_00560,BJPOBNPA_01079,MHOHJPEI_02119,IFBIBDFK_00537,NDJNICBH_00184,GDMGBJMC_01172,PCEJJBAK_01209,CENHJHOP_01733,OJDKFIFK_01731,HDNLMBCC_01544,LLAELIHG_00848,JNMNFCGE_02033,FDAPKMPL_01693,PPEHEOKD_00498,GBLJPCAA_00963,DMLJKPOB_01771
group_1549,,hypothetical protein,42,42,1,56,4505,,,,1088,1271,1266,CNENEDLI_00748,DFALKBJJ_01197,EJBHNGMC_00681,DCFFOKJI_01150,PHBPEANE_01051,JINGLCIG_01283,ADPOPIFB_02329,NJBJJNNI_01242,DJMJFLHK_00551,AIHILEFE_01049,JGGOHAED_01058,GJMCKLCA_01796,GBODHHMP_01723,MNODNHPF_00329,EJGBHNGE_02019,BJIHFIIA_02260,CCJAMINL_01372,INNBEBHB_02113,BCLEFNON_02104,PIKLICFD_01147,KCBGGAIE_01816,DKDLJDCI_01195,HHABKOMD_01785,HFDAGFPP_01231,OIIKEPCC_00114,LJEDAGOM_02026,IPMILDJG_00562,BJPOBNPA_01077,MHOHJPEI_02117,IFBIBDFK_00535,NDJNICBH_00182,GDMGBJMC_01170,PCEJJBAK_01211,CENHJHOP_01735,OJDKFIFK_01733,HDNLMBCC_01542,LLAELIHG_00769,JNMNFCGE_01230,FDAPKMPL_01695,PPEHEOKD_00496,GBLJPCAA_00960,DMLJKPOB_01769
group_1550,,hypothetical protein,42,42,1,56,4509,,,,323,383,380,CNENEDLI_00751,DFALKBJJ_01200,EJBHNGMC_00684,DCFFOKJI_01147,PHBPEANE_01054,JINGLCIG_01286,ADPOPIFB_02332,NJBJJNNI_01239,DJMJFLHK_00548,AIHILEFE_01046,JGGOHAED_01061,GJMCKLCA_01799,GBODHHMP_01720,MNODNHPF_00326,EJGBHNGE_02016,BJIHFIIA_02257,CCJAMINL_01369,INNBEBHB_02110,BCLEFNON_02101,PIKLICFD_01144,KCBGGAIE_01813,DKDLJDCI_01198,HHABKOMD_01782,HFDAGFPP_01228,OIIKEPCC_00117,LJEDAGOM_02023,IPMILDJG_00565,BJPOBNPA_01074,MHOHJPEI_02114,IFBIBDFK_00532,NDJNICBH_00179,GDMGBJMC_01167,PCEJJBAK_01214,CENHJHOP_01738,OJDKFIFK_01736,HDNLMBCC_01539,LLAELIHG_00772,JNMNFCGE_01233,FDAPKMPL_01698,PPEHEOKD_00493,GBLJPCAA_00956,DMLJKPOB_01766
galK,,Galactokinase,42,42,1,56,4512,,,,812,1202,1192,CNENEDLI_00754,DFALKBJJ_01203,EJBHNGMC_00687,DCFFOKJI_01144,PHBPEANE_01057,JINGLCIG_01289,ADPOPIFB_02335,NJBJJNNI_01236,DJMJFLHK_00545,AIHILEFE_01043,JGGOHAED_00003,GJMCKLCA_01802,GBODHHMP_01717,MNODNHPF_00323,EJGBHNGE_02013,BJIHFIIA_02254,CCJAMINL_01366,INNBEBHB_02107,BCLEFNON_02098,PIKLICFD_01141,KCBGGAIE_01810,DKDLJDCI_01201,HHABKOMD_01779,HFDAGFPP_01225,OIIKEPCC_00120,LJEDAGOM_02020,IPMILDJG_00568,BJPOBNPA_01071,MHOHJPEI_02111,IFBIBDFK_00529,NDJNICBH_00176,GDMGBJMC_01164,PCEJJBAK_01217,CENHJHOP_01741,OJDKFIFK_01739,HDNLMBCC_01536,LLAELIHG_00775,JNMNFCGE_01236,FDAPKMPL_01701,PPEHEOKD_00490,GBLJPCAA_00952,DMLJKPOB_01763
group_1557,,hypothetical protein,42,42,1,56,4516,,,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,314,392,389,CNENEDLI_00758,DFALKBJJ_01208,EJBHNGMC_02053,DCFFOKJI_01140,PHBPEANE_01061,JINGLCIG_01293,ADPOPIFB_02339,NJBJJNNI_01230,DJMJFLHK_01392,AIHILEFE_01648,JGGOHAED_00009,GJMCKLCA_00499,GBODHHMP_01711,MNODNHPF_00319,EJGBHNGE_02009,BJIHFIIA_02250,CCJAMINL_01362,INNBEBHB_02103,BCLEFNON_02094,PIKLICFD_01137,KCBGGAIE_01805,DKDLJDCI_01205,HHABKOMD_01775,HFDAGFPP_01221,OIIKEPCC_00124,LJEDAGOM_02016,IPMILDJG_00572,BJPOBNPA_01067,MHOHJPEI_02107,IFBIBDFK_00525,NDJNICBH_00172,GDMGBJMC_01160,PCEJJBAK_01221,CENHJHOP_01745,OJDKFIFK_01743,HDNLMBCC_01532,LLAELIHG_01482,JNMNFCGE_01240,FDAPKMPL_01577,PPEHEOKD_00486,GBLJPCAA_00946,DMLJKPOB_01759
group_1558,,hypothetical protein,42,42,1,56,4530,,,,797,809,800,CNENEDLI_00760,DFALKBJJ_01210,EJBHNGMC_02055,DCFFOKJI_01138,PHBPEANE_01063,JINGLCIG_01295,ADPOPIFB_02341,NJBJJNNI_01228,DJMJFLHK_01656,AIHILEFE_01650,JGGOHAED_00011,GJMCKLCA_00501,GBODHHMP_01709,MNODNHPF_00317,EJGBHNGE_02007,BJIHFIIA_02248,CCJAMINL_01360,INNBEBHB_02101,BCLEFNON_02092,PIKLICFD_01135,KCBGGAIE_01803,DKDLJDCI_01207,HHABKOMD_01773,HFDAGFPP_01219,OIIKEPCC_00126,LJEDAGOM_02014,IPMILDJG_00574,BJPOBNPA_01065,MHOHJPEI_02105,IFBIBDFK_00523,NDJNICBH_00170,GDMGBJMC_01158,PCEJJBAK_01223,CENHJHOP_01747,OJDKFIFK_01745,HDNLMBCC_01530,LLAELIHG_01480,JNMNFCGE_01242,FDAPKMPL_01579,PPEHEOKD_00484,GBLJPCAA_00944,DMLJKPOB_01757
corA,,Cobalt/magnesium transport protein CorA,42,42,1,56,3826,,,,1067,1067,1067,CNENEDLI_00828,DFALKBJJ_01850,EJBHNGMC_01461,DCFFOKJI_00608,PHBPEANE_00233,JINGLCIG_01824,ADPOPIFB_00978,NJBJJNNI_00968,DJMJFLHK_00243,AIHILEFE_00411,JGGOHAED_00786,GJMCKLCA_01839,GBODHHMP_00425,MNODNHPF_00947,EJGBHNGE_01185,BJIHFIIA_01887,CCJAMINL_00111,INNBEBHB_01427,BCLEFNON_01602,PIKLICFD_00106,KCBGGAIE_01294,DKDLJDCI_01267,HHABKOMD_01263,HFDAGFPP_00857,OIIKEPCC_01344,LJEDAGOM_00425,IPMILDJG_00283,BJPOBNPA_00065,MHOHJPEI_01680,IFBIBDFK_01651,NDJNICBH_01051,GDMGBJMC_01433,PCEJJBAK_01488,CENHJHOP_00810,OJDKFIFK_01113,HDNLMBCC_00490,LLAELIHG_01463,JNMNFCGE_01542,FDAPKMPL_00974,PPEHEOKD_01230,GBLJPCAA_02223,DMLJKPOB_01282
group_1569,,hypothetical protein,42,42,1,56,3821,,,,950,1343,1333,CNENEDLI_00831,DFALKBJJ_01847,EJBHNGMC_01458,DCFFOKJI_00611,PHBPEANE_00236,JINGLCIG_01827,ADPOPIFB_00981,NJBJJNNI_00965,DJMJFLHK_00240,AIHILEFE_00408,JGGOHAED_00783,GJMCKLCA_01836,GBODHHMP_00422,MNODNHPF_00950,EJGBHNGE_01182,BJIHFIIA_01884,CCJAMINL_00108,INNBEBHB_01424,BCLEFNON_01599,PIKLICFD_00103,KCBGGAIE_01291,DKDLJDCI_01264,HHABKOMD_01260,HFDAGFPP_00860,OIIKEPCC_01341,LJEDAGOM_00422,IPMILDJG_00286,BJPOBNPA_00062,MHOHJPEI_01683,IFBIBDFK_01648,NDJNICBH_01054,GDMGBJMC_01430,PCEJJBAK_01485,CENHJHOP_00813,OJDKFIFK_01110,HDNLMBCC_00487,LLAELIHG_01460,JNMNFCGE_01539,FDAPKMPL_00977,PPEHEOKD_01227,GBLJPCAA_02226,DMLJKPOB_01279
group_1587,,hypothetical protein,42,42,1,56,1464,,,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,545,545,545,CNENEDLI_00885,DFALKBJJ_01713,EJBHNGMC_00031,DCFFOKJI_00260,PHBPEANE_01673,JINGLCIG_01814,ADPOPIFB_00032,NJBJJNNI_01798,DJMJFLHK_00875,AIHILEFE_01376,JGGOHAED_01468,GJMCKLCA_00450,GBODHHMP_01180,MNODNHPF_00014,EJGBHNGE_01225,BJIHFIIA_00626,CCJAMINL_01042,INNBEBHB_00654,BCLEFNON_00593,PIKLICFD_00831,KCBGGAIE_00648,DKDLJDCI_00829,HHABKOMD_00581,HFDAGFPP_00217,OIIKEPCC_00429,LJEDAGOM_00405,IPMILDJG_01954,BJPOBNPA_00750,MHOHJPEI_00577,IFBIBDFK_00014,NDJNICBH_01448,GDMGBJMC_01713,PCEJJBAK_00014,CENHJHOP_00337,OJDKFIFK_00374,HDNLMBCC_01434,LLAELIHG_00672,JNMNFCGE_01412,FDAPKMPL_01032,PPEHEOKD_00103,GBLJPCAA_00509,DMLJKPOB_00446
group_1588,,hypothetical protein,42,42,1,56,1461,,,,419,452,432,CNENEDLI_00888,DFALKBJJ_01710,EJBHNGMC_00028,DCFFOKJI_00257,PHBPEANE_01676,JINGLCIG_01811,ADPOPIFB_00035,NJBJJNNI_01986,DJMJFLHK_00878,AIHILEFE_01373,JGGOHAED_01471,GJMCKLCA_00447,GBODHHMP_01177,MNODNHPF_00011,EJGBHNGE_01222,BJIHFIIA_00629,CCJAMINL_01039,INNBEBHB_00657,BCLEFNON_00596,PIKLICFD_00828,KCBGGAIE_00651,DKDLJDCI_00826,HHABKOMD_00584,HFDAGFPP_00220,OIIKEPCC_00432,LJEDAGOM_00408,IPMILDJG_01951,BJPOBNPA_00747,MHOHJPEI_00580,IFBIBDFK_00011,NDJNICBH_01445,GDMGBJMC_01710,PCEJJBAK_00011,CENHJHOP_00340,OJDKFIFK_00371,HDNLMBCC_01431,LLAELIHG_00675,JNMNFCGE_01977,FDAPKMPL_01029,PPEHEOKD_00106,GBLJPCAA_00506,DMLJKPOB_00449
fruA_1,,PTS system fructose-specific EIIABC component,42,42,1,56,4477,,,,569,1865,1834,CNENEDLI_00916,DFALKBJJ_01752,EJBHNGMC_00594,DCFFOKJI_01881,PHBPEANE_01635,JINGLCIG_00361,ADPOPIFB_01880,NJBJJNNI_01836,DJMJFLHK_00837,AIHILEFE_01415,JGGOHAED_01430,GJMCKLCA_00488,GBODHHMP_01219,MNODNHPF_00053,EJGBHNGE_00797,BJIHFIIA_00588,CCJAMINL_01080,INNBEBHB_00616,BCLEFNON_00555,PIKLICFD_00870,KCBGGAIE_00610,DKDLJDCI_00868,HHABKOMD_00542,HFDAGFPP_00179,OIIKEPCC_00390,LJEDAGOM_00367,IPMILDJG_01992,BJPOBNPA_00788,MHOHJPEI_00539,IFBIBDFK_00259,NDJNICBH_00541,GDMGBJMC_01751,PCEJJBAK_00053,CENHJHOP_00299,OJDKFIFK_00412,HDNLMBCC_01990,LLAELIHG_01873,JNMNFCGE_02152,FDAPKMPL_01954,PPEHEOKD_00065,GBLJPCAA_00560,DMLJKPOB_00408
glgD,,Glycogen biosynthesis protein GlgD,42,42,1,56,1512,,,,893,1163,1156,CNENEDLI_00920,DFALKBJJ_01748,EJBHNGMC_00096,DCFFOKJI_01885,PHBPEANE_01639,JINGLCIG_00365,ADPOPIFB_01884,NJBJJNNI_01832,DJMJFLHK_00841,AIHILEFE_01411,JGGOHAED_01434,GJMCKLCA_00484,GBODHHMP_01215,MNODNHPF_00049,EJGBHNGE_00793,BJIHFIIA_00592,CCJAMINL_01076,INNBEBHB_00620,BCLEFNON_00559,PIKLICFD_00866,KCBGGAIE_00614,DKDLJDCI_00864,HHABKOMD_00546,HFDAGFPP_00183,OIIKEPCC_00394,LJEDAGOM_00371,IPMILDJG_01988,BJPOBNPA_00784,MHOHJPEI_00543,IFBIBDFK_00255,NDJNICBH_00545,GDMGBJMC_01747,PCEJJBAK_00049,CENHJHOP_00303,OJDKFIFK_00408,HDNLMBCC_01986,LLAELIHG_01877,JNMNFCGE_00948,FDAPKMPL_01958,PPEHEOKD_00069,GBLJPCAA_00555,DMLJKPOB_00412
bdhA,,NADH-dependent butanol dehydrogenase A,42,42,1,56,1496,,,,1181,1181,1181,CNENEDLI_00930,DFALKBJJ_01738,EJBHNGMC_00086,DCFFOKJI_01895,PHBPEANE_01649,JINGLCIG_00375,ADPOPIFB_01894,NJBJJNNI_01822,DJMJFLHK_00851,AIHILEFE_01401,JGGOHAED_01444,GJMCKLCA_00474,GBODHHMP_01205,MNODNHPF_00039,EJGBHNGE_00783,BJIHFIIA_00602,CCJAMINL_01066,INNBEBHB_00630,BCLEFNON_00569,PIKLICFD_00856,KCBGGAIE_00624,DKDLJDCI_00854,HHABKOMD_00556,HFDAGFPP_00193,OIIKEPCC_00404,LJEDAGOM_00381,IPMILDJG_01978,BJPOBNPA_00774,MHOHJPEI_00553,IFBIBDFK_00245,NDJNICBH_00555,GDMGBJMC_01737,PCEJJBAK_00039,CENHJHOP_00313,OJDKFIFK_00398,HDNLMBCC_01976,LLAELIHG_01887,JNMNFCGE_01740,FDAPKMPL_01968,PPEHEOKD_00079,GBLJPCAA_00540,DMLJKPOB_00422
aroQ,,3-dehydroquinate dehydratase,42,42,1,56,1486,,,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,161,434,427,CNENEDLI_00939,DFALKBJJ_01729,EJBHNGMC_00502,DCFFOKJI_01904,PHBPEANE_01658,JINGLCIG_00384,ADPOPIFB_01903,NJBJJNNI_01813,DJMJFLHK_00860,AIHILEFE_01392,JGGOHAED_01453,GJMCKLCA_00465,GBODHHMP_01196,MNODNHPF_00030,EJGBHNGE_00774,BJIHFIIA_00611,CCJAMINL_01057,INNBEBHB_00639,BCLEFNON_00578,PIKLICFD_00847,KCBGGAIE_00633,DKDLJDCI_00845,HHABKOMD_00565,HFDAGFPP_00202,OIIKEPCC_00413,LJEDAGOM_00390,IPMILDJG_01969,BJPOBNPA_00765,MHOHJPEI_00562,IFBIBDFK_00236,NDJNICBH_00564,GDMGBJMC_01728,PCEJJBAK_00030,CENHJHOP_00322,OJDKFIFK_00389,HDNLMBCC_01967,LLAELIHG_01896,JNMNFCGE_01731,FDAPKMPL_01977,PPEHEOKD_00088,GBLJPCAA_00529,DMLJKPOB_00431
hom,,Homoserine dehydrogenase,42,42,1,56,5559,,,,686,1118,1100,CNENEDLI_01513,DFALKBJJ_00283,EJBHNGMC_00772,DCFFOKJI_00866,PHBPEANE_00880,JINGLCIG_01163,ADPOPIFB_00435,NJBJJNNI_00552,DJMJFLHK_00114,AIHILEFE_01744,JGGOHAED_00675,GJMCKLCA_01961,GBODHHMP_01013,MNODNHPF_00698,EJGBHNGE_01907,BJIHFIIA_02145,CCJAMINL_00818,INNBEBHB_01830,BCLEFNON_01441,PIKLICFD_00664,KCBGGAIE_01700,DKDLJDCI_00758,HHABKOMD_01670,HFDAGFPP_01649,OIIKEPCC_01895,LJEDAGOM_01632,IPMILDJG_00878,BJPOBNPA_01240,MHOHJPEI_01791,IFBIBDFK_01417,NDJNICBH_01479,GDMGBJMC_00985,PCEJJBAK_00947,CENHJHOP_01564,OJDKFIFK_01460,HDNLMBCC_01031,LLAELIHG_01265,JNMNFCGE_00865,FDAPKMPL_00201,PPEHEOKD_01663,GBLJPCAA_01571,DMLJKPOB_01891
prfA,,Peptide chain release factor 1,42,42,1,56,3058,,,,623,1079,1068,CNENEDLI_00957,DFALKBJJ_00205,EJBHNGMC_01673,DCFFOKJI_01832,PHBPEANE_00615,JINGLCIG_01044,ADPOPIFB_01777,NJBJJNNI_00676,DJMJFLHK_01172,AIHILEFE_00349,JGGOHAED_00317,GJMCKLCA_00631,GBODHHMP_00887,MNODNHPF_00559,EJGBHNGE_00021,BJIHFIIA_00067,CCJAMINL_00566,INNBEBHB_00434,BCLEFNON_00022,PIKLICFD_00526,KCBGGAIE_00289,DKDLJDCI_00621,HHABKOMD_00022,HFDAGFPP_00477,OIIKEPCC_01158,LJEDAGOM_00598,IPMILDJG_00514,BJPOBNPA_00441,MHOHJPEI_00022,IFBIBDFK_01278,NDJNICBH_00587,GDMGBJMC_00592,PCEJJBAK_00809,CENHJHOP_01299,OJDKFIFK_01081,HDNLMBCC_02093,LLAELIHG_01585,JNMNFCGE_00803,FDAPKMPL_01906,PPEHEOKD_01466,GBLJPCAA_01761,DMLJKPOB_00775
group_1602,,hypothetical protein,42,42,1,56,3060,,,,650,677,676,CNENEDLI_00958,DFALKBJJ_00204,EJBHNGMC_01674,DCFFOKJI_01833,PHBPEANE_00614,JINGLCIG_01045,ADPOPIFB_01778,NJBJJNNI_00677,DJMJFLHK_01173,AIHILEFE_00350,JGGOHAED_00318,GJMCKLCA_00630,GBODHHMP_00886,MNODNHPF_00558,EJGBHNGE_00022,BJIHFIIA_00068,CCJAMINL_00565,INNBEBHB_00433,BCLEFNON_00023,PIKLICFD_00525,KCBGGAIE_00288,DKDLJDCI_00620,HHABKOMD_00023,HFDAGFPP_00478,OIIKEPCC_01157,LJEDAGOM_00597,IPMILDJG_00513,BJPOBNPA_00440,MHOHJPEI_00023,IFBIBDFK_01277,NDJNICBH_00588,GDMGBJMC_00593,PCEJJBAK_00808,CENHJHOP_01298,OJDKFIFK_01080,HDNLMBCC_02092,LLAELIHG_01584,JNMNFCGE_00804,FDAPKMPL_01907,PPEHEOKD_01465,GBLJPCAA_01763,DMLJKPOB_00776
group_1603,,hypothetical protein,42,42,1,56,3067,,,,212,212,212,CNENEDLI_00964,DFALKBJJ_00197,EJBHNGMC_01680,DCFFOKJI_01839,PHBPEANE_00608,JINGLCIG_01051,ADPOPIFB_01784,NJBJJNNI_00683,DJMJFLHK_01179,AIHILEFE_00356,JGGOHAED_00324,GJMCKLCA_00624,GBODHHMP_00880,MNODNHPF_00552,EJGBHNGE_00028,BJIHFIIA_00074,CCJAMINL_00559,INNBEBHB_00427,BCLEFNON_00029,PIKLICFD_00519,KCBGGAIE_00282,DKDLJDCI_00614,HHABKOMD_00029,HFDAGFPP_00484,OIIKEPCC_01151,LJEDAGOM_00591,IPMILDJG_00507,BJPOBNPA_00434,MHOHJPEI_00029,IFBIBDFK_01271,NDJNICBH_00594,GDMGBJMC_00599,PCEJJBAK_00802,CENHJHOP_01292,OJDKFIFK_01074,HDNLMBCC_02086,LLAELIHG_01826,JNMNFCGE_00245,FDAPKMPL_01913,PPEHEOKD_01459,GBLJPCAA_01770,DMLJKPOB_00782
group_1604,,hypothetical protein,42,42,1,56,6067,,,,290,329,328,CNENEDLI_00972,DFALKBJJ_01615,EJBHNGMC_01182,DCFFOKJI_01522,PHBPEANE_00926,JINGLCIG_02167,ADPOPIFB_01532,NJBJJNNI_01708,DJMJFLHK_00516,AIHILEFE_00883,JGGOHAED_01087,GJMCKLCA_01277,GBODHHMP_02089,MNODNHPF_01810,EJGBHNGE_00452,BJIHFIIA_01338,CCJAMINL_01763,INNBEBHB_01261,BCLEFNON_01982,PIKLICFD_01520,KCBGGAIE_01179,DKDLJDCI_01590,HHABKOMD_01154,HFDAGFPP_01448,OIIKEPCC_00486,LJEDAGOM_01284,IPMILDJG_01436,BJPOBNPA_01450,MHOHJPEI_01896,IFBIBDFK_02278,NDJNICBH_00695,GDMGBJMC_01263,PCEJJBAK_00349,CENHJHOP_01610,OJDKFIFK_01608,HDNLMBCC_02337,LLAELIHG_01448,JNMNFCGE_01641,FDAPKMPL_00302,PPEHEOKD_00713,GBLJPCAA_01389,DMLJKPOB_01603
lpxD,,UDP-3-O-acylglucosamine N-acyltransferase,42,42,1,56,6085,,,,1001,1001,1001,CNENEDLI_00985,DFALKBJJ_01601,EJBHNGMC_01496,DCFFOKJI_01535,PHBPEANE_00939,JINGLCIG_02180,ADPOPIFB_01519,NJBJJNNI_01721,DJMJFLHK_00529,AIHILEFE_00870,JGGOHAED_01100,GJMCKLCA_01264,GBODHHMP_02102,MNODNHPF_01797,EJGBHNGE_00465,BJIHFIIA_01351,CCJAMINL_01776,INNBEBHB_01274,BCLEFNON_01995,PIKLICFD_01533,KCBGGAIE_01192,DKDLJDCI_01577,HHABKOMD_01167,HFDAGFPP_01461,OIIKEPCC_00473,LJEDAGOM_01297,IPMILDJG_01449,BJPOBNPA_01463,MHOHJPEI_01909,IFBIBDFK_02265,NDJNICBH_00708,GDMGBJMC_01276,PCEJJBAK_00362,CENHJHOP_01623,OJDKFIFK_01621,HDNLMBCC_02350,LLAELIHG_00802,JNMNFCGE_01628,FDAPKMPL_00289,PPEHEOKD_00700,GBLJPCAA_01404,DMLJKPOB_01616
hprK,,HPr kinase/phosphorylase,42,42,1,56,2684,,,,734,1913,1882,CNENEDLI_01057,DFALKBJJ_00919,EJBHNGMC_00737,DCFFOKJI_01221,PHBPEANE_01825,JINGLCIG_01685,ADPOPIFB_01290,NJBJJNNI_00459,DJMJFLHK_00988,AIHILEFE_00930,JGGOHAED_01834,GJMCKLCA_01628,GBODHHMP_00155,MNODNHPF_02007,EJGBHNGE_01153,BJIHFIIA_00891,CCJAMINL_02153,INNBEBHB_00862,BCLEFNON_00882,PIKLICFD_01912,KCBGGAIE_00815,DKDLJDCI_00272,HHABKOMD_00785,HFDAGFPP_00404,OIIKEPCC_00822,LJEDAGOM_01114,IPMILDJG_01156,BJPOBNPA_00613,MHOHJPEI_00847,IFBIBDFK_00970,NDJNICBH_01386,GDMGBJMC_00414,PCEJJBAK_00705,CENHJHOP_00489,OJDKFIFK_00515,HDNLMBCC_00167,LLAELIHG_00624,JNMNFCGE_01354,FDAPKMPL_00966,PPEHEOKD_00141,GBLJPCAA_00051,DMLJKPOB_00944
